,PHRASE,COUNT,ON_TOPIC,UNIQUE,SPECIFIC
135,charge,736,0,,
136,lawyer,733,0,,
137,back,1469,0,,
138,used,2064,0,,
139,publishing,555,0,,
140,legal,985,0,,
141,influence,488,0,,
142,opinion,145,0,,
143,countries,1260,0,,
144,eligible,66,0,,
145,believe,644,0,,
146,federal,1068,0,,
147,equipment,812,0,,
148,cultural,69,0,,
149,arrested,1379,0,,
150,intelligence official,128,0,,
151,war,1042,0,,
152,conservative,86,0,,
153,continued,359,0,,
154,office,661,0,,
155,operations,900,0,,
156,computer,983,0,,
157,event,170,0,,
158,growing,248,0,,
159,statement,1303,0,,
160,detained,626,0,,
161,comment,555,0,,
162,workers,206,0,,
163,charged,1180,0,,
164,lawyers,639,0,,
165,access,1557,0,,
166,facial recognition,60,0,,
167,article,514,0,,
168,arrest,1302,0,,
169,family,888,0,,
170,counter,242,0,,
171,systems,629,0,,
172,becoming,153,0,,
173,audience,100,0,,
174,rights,941,0,,
175,time,2576,0,,
176,evidence,1447,0,,
177,services,860,0,,
178,Hong Kong,319,0,,
179,accused,1248,0,,
180,alerts,83,0,,
181,memo,339,0,,
182,tools,422,0,,
183,publication,433,0,,
184,suspected,346,0,,
185,investments,57,0,,
186,swap,168,0,,
187,alleged Chinese,34,0,,
188,events,234,0,,
189,files,507,0,,
190,pandemic,168,0,,
191,entertainment,21,0,,
192,really,775,0,,
193,administration,1172,0,,
194,country,1382,0,,
195,opportunities,109,0,,
196,well,1599,0,,
197,last,1903,0,,
198,immediately,389,0,,
199,president,1007,0,,
200,union,89,0,,
201,mayor,22,0,,
202,original,194,0,,
203,San Francisco,126,0,,
204,human,749,0,,
205,request,668,0,,
206,friends,392,0,,
207,secret,1481,0,,
208,dont,1054,0,,
209,right,1007,0,,
210,attack,682,0,,
211,officials believe,32,0,,
212,resign,32,0,,
213,team,576,0,,
214,seen,592,0,,
215,two,2544,0,,
216,operation,849,0,,
217,city,226,0,,
218,risk,809,0,,
219,much,1142,0,,
220,months,980,0,,
221,investors,77,0,,
222,university,147,0,,
223,capital,167,0,,
224,sentence,740,0,,
225,breaking,265,0,,
226,first,1679,0,,
227,letter,373,0,,
228,relationships,103,0,,
229,years,3222,0,,
230,trial,776,0,,
231,measures,233,0,,
232,inside,568,0,,
233,available,339,0,,
234,even,1755,0,,
235,agents,960,0,,
236,threat,1040,0,,
237,testimony,238,0,,
