,PHRASE,COUNT,ON_TOPIC,UNIQUE,SPECIFIC
318,quarantine,6274,0,,
319,opinion,4370,0,,
320,video,11146,0,,
321,month,16137,0,,
322,climate,6005,0,,
323,ahead,14638,0,,
324,vaccines,1447,0,,
325,didnt,17113,0,,
326,pollsters,183,0,,
327,shall,1316,0,,
328,death,16143,0,,
329,box,1638,0,,
330,actually,13626,0,,
331,authors,1409,0,,
332,begin,5414,0,,
333,readers,1791,0,,
334,valid,814,0,,
335,woman,11005,0,,
336,happening,4187,0,,
337,program,11068,0,,
338,cultural,3541,0,,
339,national,21455,0,,
340,testing,5767,0,,
341,entered,2915,0,,
342,investigators,2267,0,,
343,nations,10355,0,,
344,masks,5144,0,,
345,views,6096,0,,
346,member,13236,0,,
347,relay,3023,0,,
348,emotions,498,0,,
349,attacks,16415,0,,
350,democracy,8477,0,,
351,New Jersey,2050,0,,
352,picture,3254,0,,
353,nurses,1061,0,,
354,vote,14815,0,,
355,measures,8437,0,,
356,never,23568,0,,
357,President Donald Trump,6186,0,,
358,things,17893,0,,
359,weeks,18830,0,,
360,counter,3084,0,,
361,employees,3696,0,,
362,summer,10818,0,,
363,rating,782,0,,
364,see,28927,0,,
365,added,12419,0,,
366,firms,2095,0,,
367,medical,8914,0,,
368,soldiers,6202,0,,
369,location,2338,0,,
370,around,25738,0,,
371,arms,5740,0,,
372,ago,18208,0,,
373,sexual,3535,0,,
374,flights,3515,0,,
375,need,22053,0,,
376,respondents,548,0,,
377,surveillance,3778,0,,
378,love,7230,0,,
379,day,37470,0,,
380,TEL AVIV,489,0,,
381,place,32054,0,,
382,spectators,3086,0,,
383,travel,11594,0,,
384,ruling,3764,0,,
385,original,3642,0,,
386,artists,3370,0,,
387,date,10419,0,,
388,every,20480,0,,
389,rally,5814,0,,
390,agreeing,569,0,,
391,voice,3806,0,,
392,decision,25562,0,,
393,three,32707,0,,
394,confirm,1392,0,,
395,including,39082,0,,
396,social media,6814,0,,
397,fossil,2898,0,,
398,tax,6347,0,,
399,talk,10427,0,,
400,disease,6325,0,,
401,inside,8165,0,,
402,must,17916,0,,
403,mental,2109,0,,
404,border,16051,0,,
