,PHRASE,COUNT,ON_TOPIC,UNIQUE,SPECIFIC
110,life,4295,1,1.0,0.0
111,Saudi Arabia,164,1,1.0,0.0
112,charges,2208,1,1.0,0.0
113,camp,532,1,1.0,0.0
114,lawsuit,1346,1,1.0,0.0
115,bond,370,1,1.0,0.0
116,juvenile,633,1,1.0,0.0
117,fighting,475,1,1.0,0.0
118,attack,710,1,1.0,0.0
119,guards,2372,1,1.0,0.0
120,ceasefire,136,1,1.0,0.0
121,third degree,45,1,1.0,0.0
122,San Francisco,350,1,1.0,0.0
123,judge,1903,1,1.0,0.0
124,Palestinian prisoners,115,1,1.0,0.0
125,trial,1810,1,1.0,0.0
126,exposure,263,1,1.0,0.0
127,abuse,1246,1,1.0,0.0
128,Taliban prisoners,197,1,1.0,0.0
129,advocates,1101,1,1.0,0.0
130,arrest,1080,1,1.0,0.0
131,attorney,1630,1,1.0,0.0
132,Guantanamo Bay,294,1,1.0,0.0
133,political prisoners,544,1,1.0,0.0
134,District Attorney,132,1,1.0,0.0
135,isolation,1051,1,1.0,0.0
136,interrogation,257,1,1.0,0.0
137,Bill de Blasio,213,1,1.0,0.0
138,lawyer,1264,1,1.0,0.0
139,democracy,342,1,1.0,0.0
140,immigration,809,1,1.0,0.0
141,gun,392,1,1.0,0.0
142,shot,557,1,1.0,0.0
143,Justice Department,742,1,1.0,0.0
144,offences,333,1,1.0,0.0
145,investigation,1242,1,1.0,0.0
146,Los Angeles,639,1,1.0,0.0
147,asylum,439,1,1.0,0.0
148,marijuana,372,1,1.0,
149,detainee,675,1,1.0,
150,corporations,93,1,1.0,
151,profits,83,1,1.0,
152,incarceration,2056,1,1.0,
153,prisons,9700,1,0.0,
154,violent,2043,1,0.0,
155,jury,291,1,0.0,
156,corrections,1637,1,0.0,
157,inmates,17541,1,0.0,
158,releases,675,1,0.0,
159,federal,6557,1,0.0,
160,prison,26673,1,0.0,
161,prisoner,2951,1,0.0,
162,peace,612,1,0.0,
163,released,6949,1,0.0,
164,incarcerated,3823,1,0.0,
165,public,4443,1,0.0,
166,detainees,3705,1,0.0,
167,state,7899,1,0.0,
168,criminal,3816,1,0.0,
169,jails,4289,1,0.0,
170,justice,4020,1,0.0,
171,criminal justice,2132,1,0.0,
172,crimes,2442,1,0.0,
173,private,1506,1,0.0,
174,facilities,3641,1,0.0,
175,confinement,2920,1,0.0,
176,officers,3808,1,0.0,
177,reform,1729,1,0.0,
178,individuals,1246,1,0.0,
179,sentences,2347,1,0.0,
180,bail,1317,1,0.0,
181,arrested,1957,1,0.0,
182,voting,924,1,0.0,
183,hunger,633,1,0.0,
184,law,3489,1,0.0,
185,correctional,2148,1,0.0,
186,releasing,810,1,0.0,
187,strike,671,1,0.0,
188,communities,951,1,0.0,
189,de Blasio,416,1,0.0,
190,department,1414,1,0.0,
191,mass,1156,1,0.0,
192,District Attorneys,77,1,0.0,
193,drugs,910,1,0.0,
194,prisoner releases,80,1,1.0,
195,women,2652,0,,
196,talks,631,0,,
197,deal,982,0,,
198,New York,4358,0,,
199,positive,3433,0,,
200,non,1028,0,,
201,tested,2841,0,,
202,posts,158,0,,
203,spread,2680,0,,
204,medical,3856,0,,
205,address,937,0,,
206,sick,1137,0,,
207,editor,141,0,,
208,health,5047,0,,
209,demand,461,0,,
210,swap,275,0,,
211,outbreak,1726,0,,
212,risk,3791,0,,
213,home,4282,0,,
214,masks,1022,0,,
215,pandemic,2810,0,,
216,political,2037,0,,
217,year,7740,0,,
218,free,1991,0,,
219,city,1858,0,,
220,spokesman,957,0,,
221,minutes,605,0,,
222,exchange,514,0,,
223,hearing,1252,0,,
224,soldiers,313,0,,
225,testing,1327,0,,
226,population,3630,0,,
227,know,3143,0,,
228,get,4693,0,,
229,states,3322,0,,
230,airport,170,0,,
231,symptoms,1156,0,,
232,man,2069,0,,
233,report,3281,0,,
234,schedule,113,0,,
235,group,2371,0,,
236,keep,1716,0,,
237,promised,235,0,,
238,men,2578,0,,
239,last,4820,0,,
240,stock,114,0,,
241,years,8337,0,,
242,programs,1271,0,,
243,week,3585,0,,
244,forces,740,0,,
245,local,1916,0,,
246,science,94,0,,
247,workers,1144,0,,
248,court,4006,0,,
249,credits,265,0,,
