,PHRASE,COUNT,ON_TOPIC,UNIQUE,SPECIFIC
51,Rashida Tlaib,671,1,1.0,0.0
52,Donald Trump,1942,1,1.0,0.0
53,Mahmoud Abbas,526,1,1.0,0.0
54,Saeb Erekat,164,1,1.0,0.0
55,Bnai Brith,63,1,1.0,0.0
56,attack,2610,1,1.0,0.0
57,Jared Kushner,586,1,1.0,0.0
58,Muslim Brotherhood,233,1,1.0,0.0
59,racist,1500,1,1.0,0.0
60,Labour Party,411,1,1.0,0.0
61,Ben Gurion,322,1,1.0,0.0
62,international law,1669,1,1.0,0.0
63,weapons,1692,1,1.0,0.0
64,war crimes,734,1,1.0,0.0
65,conflict,2812,1,1.0,0.0
66,East Jerusalem,1057,1,1.0,0.0
67,Benjamin Netanyahu,1359,1,1.0,0.0
68,diplomats,288,1,1.0,0.0
69,foreign policy,1632,1,1.0,0.0
70,Vladimir Putin,195,1,1.0,0.0
71,Gulf Arab,48,1,1.0,0.0
72,progressive,1111,1,1.0,0.0
73,Jeremy Corbyn,346,1,1.0,0.0
74,Palestinian negotiator,67,1,1.0,0.0
75,mourners,101,1,1.0,0.0
76,struggle,1223,1,1.0,0.0
77,Tel Aviv,990,1,1.0,0.0
78,commonwealth,30,1,1.0,0.0
79,al Qaeda,298,1,1.0,0.0
80,Israeli Prime Minister,799,1,1.0,0.0
81,Dream Defenders,46,1,1.0,0.0
82,al Sham,29,1,1.0,0.0
83,bin Laden,252,1,1.0,0.0
84,protective,129,1,1.0,0.0
85,communist,182,1,1.0,0.0
86,Israeli Palestinian,722,1,1.0,0.0
87,anti Semitism,2053,1,1.0,0.0
88,Jewish people,891,1,1.0,0.0
89,bombing,611,1,1.0,0.0
90,hate group,83,1,1.0,0.0
91,human rights,2527,1,1.0,0.0
92,protection,435,1,1.0,0.0
93,refugees,1996,1,1.0,0.0
94,war,8282,1,0.0,
95,international,5553,1,0.0,
96,peace,6517,1,0.0,
97,anti Semitic,1561,1,0.0,
98,Israeli occupied West,96,1,0.0,
99,Mr Netanyahu,113,1,0.0,
100,nuclear,1930,1,0.0,
101,President Donald Trump,726,1,0.0,
102,President Mahmoud Abbas,309,1,0.0,
103,regime,1682,1,0.0,
104,Prime Minister,1953,1,0.0,
105,normalisation,65,1,0.0,
106,Palestinian President Mahmoud,156,1,0.0,
107,terrorists,1009,1,0.0,
108,wars,1310,1,0.0,
109,settlement,1235,1,0.0,
110,masks,165,1,0.0,
111,east Jerusalem,155,1,0.0,
112,Human Rights,752,1,0.0,
113,Rep Ilhan Omar,275,1,0.0,
114,occupied,2830,1,0.0,
115,support,6748,1,0.0,
116,settlements,2535,1,0.0,
117,United States,17076,0,,
118,anti,8178,0,,
119,think,5668,0,,
120,know,5565,0,,
121,gas,688,0,,
122,police,2618,0,,
123,plan,5024,0,,
124,military,6563,0,,
125,countries,4002,0,,
126,music,477,0,,
127,state,11029,0,,
128,deal,3575,0,,
129,really,2957,0,,
130,protest,1275,0,,
131,cases,1394,0,,
132,rights,6096,0,,
133,relations,1214,0,,
134,George Floyd,205,0,,
135,Black Lives Matter,443,0,,
136,ties,1110,0,,
137,right,7991,0,,
138,dont,4120,0,,
139,government,8419,0,,
140,letters,288,0,,
141,media,4081,0,,
142,death,2253,0,,
143,world,7352,0,,
144,one,13867,0,,
145,hate,1150,0,,
146,country,5619,0,,
147,explosions,77,0,,
148,Mr Trump,227,0,,
149,administration,3574,0,,
150,groups,3192,0,,
151,get,3959,0,,
152,want,3672,0,,
