PHRASE,TOTAL,aljazeera,alternet,americanconservative,americanspectator,ap,atlantic,axios,bbc,breitbart,businessinsider,buzzfeed,canary,cbs,cnbc,cnn,commondreams,conversation,counterpunch,dailycaller,dailykos,dailymail,dailywire,economist,federalist,fivethirtyeight,fox,guardian,huffingtonpost,independent,infowars,intercept,jacobinmag,jpost,lewrockwell,mintpress,motherjones,msnbc,nationalreview,nbc,newyorker,npr,nypost,nytimes,opednews,pjmedia,propublica,psychologytoday,rawstory,redstate,reuters,rt,shadowproof,slate,snopes,spectator,time,townhall,truthdig,usatoday,verge,veteranstoday,vice,vox,wapo,wsj
the killing of,1535,82,28,10,1,52,4,2,34,46,8,28,9,33,3,59,46,9,4,12,13,150,8,5,6,7,61,111,4,62,8,27,5,0,1,2,11,8,6,61,9,53,41,25,0,13,9,1,27,20,4,22,1,20,4,4,10,6,1,66,5,3,16,26,96,27
trust between law,53,0,0,3,0,0,0,0,1,0,0,1,1,11,0,2,0,0,0,2,1,10,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,6,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,2,0
opened fire,1146,19,5,1,3,32,2,3,4,19,1,20,1,63,4,70,2,0,7,31,12,92,15,0,3,0,142,46,5,29,6,8,3,0,4,4,3,0,3,97,0,20,88,19,1,17,4,0,18,9,0,19,2,12,8,0,0,3,2,63,0,2,9,31,59,1
police violence,2002,82,28,5,0,41,22,3,36,55,21,50,8,35,1,81,109,44,29,30,46,50,13,3,6,21,33,93,14,42,5,59,45,1,2,11,42,3,9,43,14,74,26,32,2,9,9,13,46,11,13,6,6,49,1,3,7,2,0,50,6,1,32,232,136,1
misconduct,3614,40,48,10,2,95,32,4,60,108,10,119,18,159,1,223,52,31,29,51,33,171,9,27,3,25,156,254,9,37,7,76,10,1,20,14,28,0,23,119,8,95,143,82,2,19,143,5,34,10,19,18,10,56,6,8,6,11,22,215,0,0,39,179,353,17
implicit bias,267,3,0,0,25,3,1,0,5,4,0,1,0,28,0,12,3,2,1,4,0,5,3,2,0,0,9,8,1,2,0,4,0,0,0,0,2,0,1,10,0,3,5,4,0,1,0,26,5,2,0,0,0,27,0,3,0,0,0,13,0,0,3,12,23,1
police brutality,4481,195,52,8,0,93,14,16,101,191,75,147,14,174,4,245,107,15,28,75,78,451,53,7,13,12,278,159,16,132,28,32,22,3,8,19,45,5,18,110,6,129,110,62,0,35,8,16,64,36,13,69,1,53,6,22,34,15,1,251,8,4,95,144,229,27
resisted,699,12,1,0,1,15,1,0,10,15,1,12,4,40,0,59,7,3,7,17,4,94,18,0,4,0,39,26,6,11,7,3,2,0,1,0,4,0,10,42,2,12,35,14,0,8,3,0,8,11,1,8,1,13,2,1,3,4,0,22,0,0,21,11,42,1
deadly force,1573,25,5,5,10,45,11,2,18,19,12,58,2,76,0,122,23,6,4,21,29,65,8,4,3,2,113,62,12,18,4,3,2,0,4,2,25,0,15,109,2,64,40,40,4,14,17,0,25,25,2,6,3,16,0,3,9,9,4,120,0,1,21,64,135,5
shot by police,466,4,3,2,4,35,0,1,11,10,7,4,0,12,1,20,1,1,0,10,3,43,9,1,4,2,19,23,5,40,4,1,0,0,5,2,4,0,0,24,2,13,9,0,0,5,0,0,5,2,0,5,1,6,2,1,3,2,0,34,0,0,2,27,30,2
police force,2414,51,19,6,1,35,7,1,51,97,18,50,17,70,0,125,20,26,16,57,21,215,30,18,37,8,149,145,13,41,40,20,8,7,5,6,14,0,16,126,5,76,88,70,1,27,19,10,22,24,7,20,3,35,1,14,12,14,2,103,0,0,32,54,177,12
accountability,2523,32,39,5,1,58,13,2,14,95,33,53,2,83,6,198,122,26,9,39,36,66,14,9,7,6,114,96,5,45,8,49,11,2,7,2,31,3,13,143,7,93,61,30,3,17,33,5,35,8,3,12,21,42,2,7,16,5,2,156,0,1,26,148,288,5
